




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (7976)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
histone H3 acetylation (GO:0043966)	47	37	18.20	+	2.03	1.46E-03	4.64E-02
regulation of dendrite morphogenesis (GO:0048814)	67	51	25.95	+	1.97	4.14E-04	1.56E-02
histone acetylation (GO:0016573)	110	81	42.60	+	1.90	1.58E-05	8.17E-04
regulation of dendrite development (GO:0050773)	104	73	40.28	+	1.81	1.40E-04	5.81E-03
internal peptidyl-lysine acetylation (GO:0018393)	116	81	44.92	+	1.80	6.19E-05	2.76E-03
ephrin receptor signaling pathway (GO:0048013)	86	60	33.31	+	1.80	5.84E-04	2.10E-02
peptidyl-lysine acetylation (GO:0018394)	119	83	46.09	+	1.80	5.38E-05	2.43E-03
internal protein amino acid acetylation (GO:0006475)	118	82	45.70	+	1.79	6.85E-05	3.02E-03
protein acetylation (GO:0006473)	138	92	53.44	+	1.72	8.28E-05	3.62E-03
embryonic limb morphogenesis (GO:0030326)	119	78	46.09	+	1.69	4.21E-04	1.58E-02
embryonic appendage morphogenesis (GO:0035113)	119	78	46.09	+	1.69	4.21E-04	1.57E-02
cerebral cortex development (GO:0021987)	118	77	45.70	+	1.68	5.32E-04	1.94E-02
negative regulation of G1/S transition of mitotic cell cycle (GO:2000134)	111	72	42.99	+	1.67	8.86E-04	2.99E-02
protein acylation (GO:0043543)	178	114	68.94	+	1.65	4.36E-05	2.01E-03
negative regulation of cell cycle G1/S phase transition (GO:1902807)	115	73	44.54	+	1.64	1.39E-03	4.43E-02
regulation of signal transduction by p53 class mediator (GO:1901796)	201	126	77.84	+	1.62	3.03E-05	1.47E-03
positive regulation of neuron projection development (GO:0010976)	161	100	62.35	+	1.60	2.93E-04	1.13E-02
regulation of muscle cell differentiation (GO:0051147)	145	90	56.16	+	1.60	5.69E-04	2.06E-02
pallium development (GO:0021543)	173	106	67.00	+	1.58	2.76E-04	1.07E-02
negative regulation of Wnt signaling pathway (GO:0030178)	219	134	84.81	+	1.58	4.55E-05	2.08E-03
covalent chromatin modification (GO:0016569)	367	224	142.13	+	1.58	1.13E-07	8.82E-06
limb morphogenesis (GO:0035108)	141	86	54.61	+	1.57	1.05E-03	3.44E-02
appendage morphogenesis (GO:0035107)	141	86	54.61	+	1.57	1.05E-03	3.44E-02
regulation of G1/S transition of mitotic cell cycle (GO:2000045)	156	95	60.42	+	1.57	6.60E-04	2.32E-02
histone modification (GO:0016570)	363	221	140.58	+	1.57	1.60E-07	1.18E-05
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	166	101	64.29	+	1.57	4.49E-04	1.67E-02
positive regulation of neurogenesis (GO:0050769)	227	138	87.91	+	1.57	3.73E-05	1.75E-03
regulation of neuron projection development (GO:0010975)	447	271	173.11	+	1.57	8.68E-09	8.27E-07
positive regulation of intracellular protein transport (GO:0090316)	185	112	71.65	+	1.56	2.56E-04	9.98E-03
mitotic cell cycle checkpoint signaling (GO:0007093)	159	96	61.58	+	1.56	7.33E-04	2.55E-02
peptidyl-lysine modification (GO:0018205)	305	184	118.12	+	1.56	2.68E-06	1.60E-04
telencephalon development (GO:0021537)	254	153	98.37	+	1.56	2.18E-05	1.08E-03
negative regulation of canonical Wnt signaling pathway (GO:0090090)	187	112	72.42	+	1.55	3.47E-04	1.31E-02
regulation of axonogenesis (GO:0050770)	161	96	62.35	+	1.54	9.92E-04	3.28E-02
regionalization (GO:0003002)	317	189	122.77	+	1.54	3.88E-06	2.24E-04
chromatin remodeling (GO:0006338)	173	103	67.00	+	1.54	7.15E-04	2.49E-02
regulation of Wnt signaling pathway (GO:0030111)	377	224	146.00	+	1.53	5.01E-07	3.38E-05
regulation of canonical Wnt signaling pathway (GO:0060828)	298	177	115.41	+	1.53	8.56E-06	4.56E-04
neural tube development (GO:0021915)	157	93	60.80	+	1.53	1.40E-03	4.46E-02
negative regulation of mitotic cell cycle (GO:0045930)	294	174	113.86	+	1.53	1.19E-05	6.23E-04
positive regulation of developmental growth (GO:0048639)	169	100	65.45	+	1.53	1.00E-03	3.30E-02
positive regulation of protein catabolic process (GO:0045732)	237	140	91.78	+	1.53	1.02E-04	4.37E-03
regulation of neurogenesis (GO:0050767)	364	215	140.97	+	1.53	1.31E-06	8.01E-05
central nervous system neuron differentiation (GO:0021953)	183	108	70.87	+	1.52	6.16E-04	2.20E-02
regulation of cell cycle G1/S phase transition (GO:1902806)	178	105	68.94	+	1.52	8.33E-04	2.84E-02
positive regulation of intracellular transport (GO:0032388)	228	134	88.30	+	1.52	1.54E-04	6.36E-03
negative regulation of mitotic cell cycle phase transition (GO:1901991)	240	141	92.95	+	1.52	1.11E-04	4.74E-03
regulation of neuron differentiation (GO:0045664)	193	113	74.74	+	1.51	6.55E-04	2.31E-02
forebrain development (GO:0030900)	387	226	149.88	+	1.51	1.29E-06	7.93E-05
regulation of mitotic cell cycle phase transition (GO:1901990)	434	253	168.08	+	1.51	2.79E-07	1.97E-05
cell-cell signaling by wnt (GO:0198738)	350	204	135.55	+	1.51	4.16E-06	2.40E-04
Wnt signaling pathway (GO:0016055)	350	204	135.55	+	1.51	4.16E-06	2.39E-04
regulation of proteolysis involved in cellular protein catabolic process (GO:1903050)	222	129	85.98	+	1.50	3.14E-04	1.21E-02
positive regulation of cell projection organization (GO:0031346)	353	205	136.71	+	1.50	5.55E-06	3.11E-04
cell projection morphogenesis (GO:0048858)	507	294	196.35	+	1.50	4.99E-08	4.26E-06
protein autophosphorylation (GO:0046777)	188	109	72.81	+	1.50	8.98E-04	3.01E-02
plasma membrane bounded cell projection morphogenesis (GO:0120039)	503	291	194.80	+	1.49	6.88E-08	5.66E-06
regulation of plasma membrane bounded cell projection organization (GO:0120035)	631	364	244.37	+	1.49	1.67E-09	1.76E-07
positive regulation of nervous system development (GO:0051962)	274	158	106.11	+	1.49	9.47E-05	4.10E-03
regulation of protein binding (GO:0043393)	196	113	75.91	+	1.49	8.89E-04	3.00E-02
rhythmic process (GO:0048511)	269	155	104.18	+	1.49	1.03E-04	4.40E-03
cell part morphogenesis (GO:0032990)	526	303	203.71	+	1.49	4.31E-08	3.72E-06
regulation of cell projection organization (GO:0031344)	648	373	250.96	+	1.49	1.11E-09	1.20E-07
neuron projection morphogenesis (GO:0048812)	499	287	193.25	+	1.49	1.17E-07	9.00E-06
cell cycle checkpoint signaling (GO:0000075)	188	108	72.81	+	1.48	1.37E-03	4.39E-02
regulation of response to DNA damage stimulus (GO:2001020)	223	128	86.36	+	1.48	4.96E-04	1.82E-02
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	338	194	130.90	+	1.48	1.66E-05	8.51E-04
proteasomal protein catabolic process (GO:0010498)	361	207	139.81	+	1.48	8.43E-06	4.52E-04
response to endoplasmic reticulum stress (GO:0034976)	260	149	100.69	+	1.48	1.56E-04	6.36E-03
pattern specification process (GO:0007389)	426	244	164.98	+	1.48	1.24E-06	7.68E-05
regulation of developmental growth (GO:0048638)	320	183	123.93	+	1.48	3.03E-05	1.46E-03
cell morphogenesis involved in neuron differentiation (GO:0048667)	453	259	175.44	+	1.48	6.90E-07	4.55E-05
regulation of neuron apoptotic process (GO:0043523)	210	120	81.33	+	1.48	8.31E-04	2.84E-02
axonogenesis (GO:0007409)	385	220	149.10	+	1.48	5.40E-06	3.04E-04
urogenital system development (GO:0001655)	324	185	125.48	+	1.47	3.32E-05	1.59E-03
regulation of cellular protein catabolic process (GO:1903362)	256	146	99.14	+	1.47	2.14E-04	8.49E-03
positive regulation of cell development (GO:0010720)	300	171	116.18	+	1.47	6.42E-05	2.85E-03
regulation of protein ubiquitination (GO:0031396)	213	121	82.49	+	1.47	8.98E-04	3.02E-02
regulation of mitotic cell cycle (GO:0007346)	588	334	227.72	+	1.47	2.47E-08	2.21E-06
regulation of protein catabolic process (GO:0042176)	398	226	154.14	+	1.47	4.95E-06	2.80E-04
neuron projection guidance (GO:0097485)	278	157	107.66	+	1.46	1.94E-04	7.78E-03
renal system development (GO:0072001)	291	164	112.70	+	1.46	1.44E-04	5.96E-03
regulation of protein modification by small protein conjugation or removal (GO:1903320)	245	138	94.88	+	1.45	5.60E-04	2.03E-02
axon guidance (GO:0007411)	277	156	107.28	+	1.45	2.32E-04	9.18E-03
epithelial tube morphogenesis (GO:0060562)	309	174	119.67	+	1.45	9.69E-05	4.19E-03
regulation of nervous system development (GO:0051960)	443	249	171.56	+	1.45	3.38E-06	1.98E-04
regulation of synapse organization (GO:0050807)	210	118	81.33	+	1.45	1.55E-03	4.85E-02
regulation of cell growth (GO:0001558)	422	237	163.43	+	1.45	5.70E-06	3.17E-04
axon development (GO:0061564)	421	236	163.04	+	1.45	6.79E-06	3.69E-04
cell division (GO:0051301)	498	279	192.86	+	1.45	8.77E-07	5.61E-05
cell morphogenesis involved in differentiation (GO:0000904)	559	312	216.49	+	1.44	2.56E-07	1.82E-05
head development (GO:0060322)	803	448	310.98	+	1.44	5.48E-10	6.32E-08
endosomal transport (GO:0016197)	235	131	91.01	+	1.44	9.96E-04	3.29E-02
brain development (GO:0007420)	759	423	293.94	+	1.44	1.86E-09	1.93E-07
neuron projection development (GO:0031175)	691	385	267.61	+	1.44	1.01E-08	9.39E-07
positive regulation of growth (GO:0045927)	257	143	99.53	+	1.44	6.01E-04	2.15E-02
chromatin organization (GO:0006325)	703	391	272.26	+	1.44	8.83E-09	8.36E-07
regulation of growth (GO:0040008)	661	367	255.99	+	1.43	3.08E-08	2.71E-06
generation of neurons (GO:0048699)	1271	705	492.23	+	1.43	6.65E-15	1.21E-12
ear development (GO:0043583)	220	122	85.20	+	1.43	1.60E-03	4.99E-02
ubiquitin-dependent protein catabolic process (GO:0006511)	545	302	211.07	+	1.43	6.14E-07	4.09E-05
regulation of cell cycle phase transition (GO:1901987)	522	289	202.16	+	1.43	1.20E-06	7.44E-05
kidney development (GO:0001822)	282	156	109.21	+	1.43	3.89E-04	1.47E-02
negative regulation of cell cycle (GO:0045786)	454	251	175.82	+	1.43	7.64E-06	4.11E-04
embryonic organ morphogenesis (GO:0048562)	295	163	114.25	+	1.43	3.44E-04	1.31E-02
modification-dependent protein catabolic process (GO:0019941)	552	305	213.78	+	1.43	7.02E-07	4.59E-05
modification-dependent macromolecule catabolic process (GO:0043632)	563	311	218.04	+	1.43	6.00E-07	4.02E-05
cell surface receptor signaling pathway involved in cell-cell signaling (GO:1905114)	420	232	162.66	+	1.43	1.75E-05	8.92E-04
negative regulation of cell cycle process (GO:0010948)	368	203	142.52	+	1.42	5.98E-05	2.67E-03
cell morphogenesis (GO:0000902)	715	394	276.90	+	1.42	1.98E-08	1.81E-06
central nervous system development (GO:0007417)	1000	551	387.28	+	1.42	1.94E-11	2.58E-09
mitotic cell cycle process (GO:1903047)	675	371	261.41	+	1.42	5.96E-08	4.98E-06
small GTPase mediated signal transduction (GO:0007264)	262	144	101.47	+	1.42	8.15E-04	2.79E-02
embryonic morphogenesis (GO:0048598)	570	313	220.75	+	1.42	8.31E-07	5.36E-05
neuron differentiation (GO:0030182)	1043	572	403.93	+	1.42	1.42E-11	1.92E-09
cellular protein catabolic process (GO:0044257)	644	353	249.41	+	1.42	1.76E-07	1.29E-05
positive regulation of transcription by RNA polymerase II (GO:0045944)	1212	664	469.38	+	1.41	2.65E-13	4.23E-11
neurogenesis (GO:0022008)	1391	762	538.70	+	1.41	3.74E-15	7.29E-13
negative regulation of cell cycle phase transition (GO:1901988)	294	161	113.86	+	1.41	4.93E-04	1.81E-02
